,filename,linenumber
113,/var/www/html/templates/columns_definitions/table_fields_definitions.phtml,4
114,/var/www/html/templates/columns_definitions/column_indexes.phtml,4
115,/var/www/html/templates/columns_definitions/column_auto_increment.phtml,4
116,/var/www/html/templates/columns_definitions/column_type.phtml,4
117,/var/www/html/templates/columns_definitions/partitions.phtml,4
118,/var/www/html/templates/columns_definitions/column_length.phtml,4
119,/var/www/html/templates/div_for_slider_effect.phtml,4
120,/var/www/html/templates/database/structure/check_all_tables.phtml,4
121,/var/www/html/templates/database/structure/table_header.phtml,4
122,/var/www/html/templates/database/structure/print_view_data_dictionary_link.phtml,4
123,/var/www/html/templates/table/structure/display_partitions.phtml,4
124,/var/www/html/templates/table/structure/row_stats_table.phtml,4
125,/var/www/html/templates/table/secondary_tabs.phtml,4
126,/var/www/html/templates/table/structure/action_row_in_structure_table.phtml,4
127,/var/www/html/templates/table/structure/actions_in_table_structure.phtml,4
128,/var/www/html/templates/table/structure/move_columns_dialog.phtml,4
129,/var/www/html/templates/table/structure/table_structure_row.phtml,4
130,/var/www/html/templates/table/structure/display_table_stats.phtml,4
131,/var/www/html/templates/table/structure/add_column.phtml,4
132,/var/www/html/vendor/composer/autoload_real.php,5
133,/var/www/codecoverage/start_xdebug.php,5
134,/var/www/html/templates/select_lang.phtml,5
135,/var/www/html/vendor/autoload.php,5
136,/var/www/html/vendor/composer/include_paths.php,5
137,/var/www/html/libraries/language_stats.inc.php,5
138,/var/www/html/templates/console/toolbar.phtml,5
139,/var/www/html/templates/console/query_action.phtml,5
140,/var/www/html/templates/console/display.phtml,5
141,/var/www/html/templates/server/databases/table_row.phtml,5
142,/var/www/html/templates/select_all.phtml,5
143,/var/www/html/templates/database/create_table.phtml,5
144,/var/www/html/templates/columns_definitions/table_fields_definitions.phtml,5
145,/var/www/html/templates/columns_definitions/column_indexes.phtml,5
146,/var/www/html/templates/columns_definitions/column_comment.phtml,5
147,/var/www/html/templates/columns_definitions/column_length.phtml,5
148,/var/www/html/templates/columns_definitions/column_attribute.phtml,5
149,/var/www/html/templates/database/structure/check_all_tables.phtml,5
150,/var/www/html/templates/database/structure/sortable_header.phtml,5
151,/var/www/html/templates/database/structure/favorite_anchor.phtml,5
152,/var/www/html/templates/database/structure/print_view_data_dictionary_link.phtml,5
153,/var/www/html/templates/table/structure/check_all_table_column.phtml,5
154,/var/www/html/templates/table/structure/row_stats_table.phtml,5
155,/var/www/html/templates/table/secondary_tabs.phtml,5
156,/var/www/html/templates/table/structure/action_row_in_structure_table.phtml,5
157,/var/www/html/templates/table/structure/actions_in_table_structure.phtml,5
158,/var/www/html/templates/table/structure/move_columns_dialog.phtml,5
159,/var/www/html/templates/select_lang.phtml,6
160,/var/www/html/vendor/composer/include_paths.php,6
161,/var/www/html/templates/console/toolbar.phtml,6
162,/var/www/html/templates/console/query_action.phtml,6
163,/var/www/html/templates/prefs_autoload.phtml,6
164,/var/www/html/templates/server/databases/table_row.phtml,6
165,/var/www/html/templates/server/databases/table_footer.phtml,6
166,/var/www/html/templates/server/databases/table_header.phtml,6
167,/var/www/html/templates/filter.phtml,6
168,/var/www/html/templates/columns_definitions/column_virtuality.phtml,6
169,/var/www/html/templates/columns_definitions/column_default.phtml,6
170,/var/www/html/templates/columns_definitions/column_indexes.phtml,6
171,/var/www/html/templates/columns_definitions/column_comment.phtml,6
172,/var/www/html/templates/columns_definitions/column_null.phtml,6
173,/var/www/html/templates/columns_definitions/column_type.phtml,6
174,/var/www/html/templates/columns_definitions/partitions.phtml,6
175,/var/www/html/templates/columns_definitions/column_attribute.phtml,6
176,/var/www/html/templates/database/structure/body_for_table_summary.phtml,6
177,/var/www/html/templates/database/structure/favorite_anchor.phtml,6
178,/var/www/html/templates/database/structure/print_view_data_dictionary_link.phtml,6
179,/var/www/html/templates/table/structure/check_all_table_column.phtml,6
180,/var/www/html/templates/table/structure/table_structure_header.phtml,6
181,/var/www/html/templates/table/structure/display_partitions.phtml,6
182,/var/www/html/templates/table/structure/row_stats_table.phtml,6
183,/var/www/html/templates/table/secondary_tabs.phtml,6
184,/var/www/html/templates/table/structure/optional_action_links.phtml,6
