,filename,linenumber
97,/var/www/html/libraries/classes/Properties/Options/Items/SelectPropertyItem.php,10
98,/var/www/html/libraries/classes/Properties/Options/Groups/OptionsPropertyRootGroup.php,10
99,/var/www/html/libraries/classes/Properties/Options/Groups/OptionsPropertyMainGroup.php,10
100,/var/www/html/libraries/classes/TablePartitionDefinition.php,10
101,/var/www/html/libraries/classes/Properties/Options/Items/NumberPropertyItem.php,10
102,/var/www/html/libraries/classes/Properties/Options/Items/HiddenPropertyItem.php,10
103,/var/www/html/vendor/tecnickcom/tcpdf/fonts/dejavusansb.php,10
104,/var/www/html/libraries/classes/Properties/Options/Items/RadioPropertyItem.php,10
105,/var/www/html/vendor/tecnickcom/tcpdf/fonts/dejavusans.php,10
106,/var/www/html/libraries/classes/Properties/Options/Items/MessageOnlyPropertyItem.php,10
107,/var/www/html/libraries/classes/Properties/Options/Items/TextPropertyItem.php,10
108,/var/www/html/vendor/tecnickcom/tcpdf/fonts/helvetica.php,10
109,/var/www/html/vendor/vimeo/psalm/src/functions.php,11
110,/var/www/html/vendor/amphp/byte-stream/lib/functions.php,11
111,/var/www/codecoverage/start_xdebug.php,11
112,/var/www/html/vendor/psr/container/src/ContainerExceptionInterface.php,11
113,/var/www/html/vendor/psr/container/src/NotFoundExceptionInterface.php,11
114,/var/www/html/index.php,11
115,/var/www/html/libraries/classes/Version.php,11
116,/var/www/html/libraries/services_loader.php,11
117,/var/www/html/vendor/psr/container/src/ContainerInterface.php,11
118,/var/www/html/libraries/classes/Utils/SessionCache.php,11
119,/var/www/html/libraries/classes/Profiling.php,11
120,/var/www/html/vendor/samyoul/u2f-php-server/src/U2FServer.php,11
121,/var/www/html/libraries/classes/Config/Forms/Page/NaviForm.php,11
122,/var/www/html/libraries/classes/Controllers/ConfigController.php,11
123,/var/www/html/libraries/classes/Config/Forms/Page/SqlForm.php,11
124,/var/www/html/libraries/classes/Config/Forms/Page/DbStructureForm.php,11
125,/var/www/html/vendor/phpmyadmin/sql-parser/src/Translator.php,11
